,Occupations,6p_Total,6p_def_Total,3p_Total,count,state,Average (6p),6p_Total_pct,6p_def_Total_pct,3p_Total_pct,count_pct
0,,879242.33,450640.66,660339.57,337,Maryland,2609.03,89.39,89.56,80.58,89.87
6,merchant,83500.0,40906.0,135523.0,15,Maryland,5566.67,8.49,8.13,16.54,4.0
3,esquire,8472.0,6493.0,8989.0,7,Maryland,1210.29,0.86,1.29,1.1,1.87
4,executor,7795.0,2625.0,10426.0,6,Maryland,1299.17,0.79,0.52,1.27,1.6
9,the estate of the late,1479.0,740.0,626.0,1,Maryland,1479.0,0.15,0.15,0.08,0.27
7,shoemaker,1343.0,671.0,940.0,1,Maryland,1343.0,0.14,0.13,0.11,0.27
1,administrator,1170.0,730.0,907.0,4,Maryland,292.5,0.12,0.15,0.11,1.07
2,doctor,311.0,155.0,242.0,1,Maryland,311.0,0.03,0.03,0.03,0.27
5,frederick,273.0,136.0,135.0,1,Maryland,273.0,0.03,0.03,0.02,0.27
8,shopkeeper,66.0,83.0,98.0,1,Maryland,66.0,0.01,0.02,0.01,0.27
10,trustee,0.0,0.0,1246.0,1,Maryland,0.0,0.0,0.0,0.15,0.27
